rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	pagerank	pagerank(filter)	sumM_neigh	rank_out_real	rank_in_real
17937	23189	19322	18297	44799	20543	20122	18894	17873	38622
17938	26164	16823	23019	37428	18471	17633	24606	18443	38685
17939	22883	38571	25666	26710	40432	40669	33207	35804	33079
17940	23888	34961	21940	25403	34028	34038	19602	29196	15601
17941	32755	33598	27408	29224	37742	38479	27845	30056	34842
17942	18761	16555	12976	13593	11018	10628	11740	18727	6068
17943	22374	28447	15617	32930	26557	25952	15307	26573	27075
17944	26034	35802	19235	36976	37400	36837	18068	34086	9576
17945	13227	8237	13744	11421	12642	11024	14304	13261	43224
17946	20565	15613	24147	44258	8007	8039	23569	9679	2555
17947	13830	12696	14951	6345	14866	14540	13996	19516	4474
17948	17584	11825	20694	11570	19170	18278	18201	16140	39453
17949	19329	23222	16855	35566	14092	15297	15398	22584	14659
17950	21627	27512	31267	17987	27436	29168	35286	32228	17061
17951	12950	9525	15846	10900	12365	11925	15516	11624	3920
17952	25136	7825	29798	29828	2434	2501	35260	2127	15606
17953	17168	9406	15183	8510	6887	6681	14017	11227	9034
17954	20008	10292	20058	39332	6189	6408	22700	5768	45017
17955	20867	34838	28576	45086	24987	27589	25503	38847	36345
17956	19578	20442	26471	17717	30614	29970	26731	31135	27489
17957	15613	26054	13639	21753	22807	21980	14544	33978	27004
17958	16897	27779	17443	43746	36745	35417	20813	35429	38274
17959	23976	28644	27036	24511	31259	30574	39224	21192	18192
17960	17000	17968	12187	14964	15803	15861	11413	21500	9451
17961	19623	32058	22922	34553	17360	17028	25692	28839	5621
17962	23923	33521	17190	42396	34926	34419	17148	30422	15560
17963	11550	3268	13986	6947	1372	1463	14165	1517	11377
17964	22737	10533	19234	16311	7957	8291	18482	9707	14446
17965	22448	25421	25176	17886	27873	29871	25602	28281	22118
17966	16439	14882	14424	17724	21038	20632	16211	15698	4386
17967	22855	40301	24054	41454	41780	41413	27633	38751	37550
17968	31094	27237	28543	44609	31466	30760	28622	28876	5865
17969	15311	40395	24521	9547	42692	42497	36453	43439	36281
17970	13918	38603	6928	25200	37565	37299	7316	32245	37667
17971	26093	8390	28507	44122	2611	2517	32055	4975	24745
17972	19151	11480	17807	9312	16615	16758	19421	12663	10027
17973	13941	11089	22461	5678	13726	13568	23791	15112	2378
17974	20726	24371	20417	32090	20303	20554	26134	22761	17588
17975	37239	32489	44132	17394	37512	36526	37593	38783	27624
17976	19708	28612	23171	42011	25554	25316	23239	27549	22753
17977	15351	13449	14648	10259	25504	24586	13796	18544	26733
17978	26067	25787	35984	43056	17844	17524	27764	26590	12573
17979	28263	29292	33753	30370	22471	22534	32632	28616	25468
17980	26271	33911	44834	43774	34067	36403	45008	33595	31240
17981	13018	15232	10770	9687	34157	32931	11338	28704	43002
17982	23583	24556	14482	29156	17831	17377	14534	22716	29574
17983	28859	41189	36139	11416	44825	44807	29455	44406	32022
17984	19612	14976	17194	43390	6937	6600	17368	9392	1827
17985	14630	32961	13028	17786	37562	37487	12079	38627	29364
17986	27650	28366	26570	44421	34100	33848	21259	34885	37780
17987	15259	22729	22087	14763	28790	29408	24563	29992	17291
17988	18585	23809	17737	44475	23338	22541	16782	18825	23305
17989	14596	41082	15156	41116	39743	39310	18754	40351	34918
17990	23187	6195	18616	18117	6362	6779	16497	4139	23779
17991	19336	32708	34304	6395	42546	42392	36389	42575	27561
17992	21681	39684	18413	27674	38033	37720	16865	38312	23545
17993	27725	32292	30465	36233	26163	27437	35459	33862	18989
17994	20236	4822	19596	4674	10234	9893	17767	7542	22822
17995	24942	38245	35703	41114	40943	41728	35158	32169	37149
17996	15884	23379	18891	10975	33241	33029	20770	39305	38419
17997	20193	19717	12471	28965	23405	23001	14644	14433	15541
17998	15039	11767	10990	16317	16932	16629	12110	9453	44142
17999	19984	43046	28156	39203	42244	42057	27915	42701	19192
18000	19295	12317	14447	12270	6404	6565	14505	9630	124
18001	20810	33719	26182	36695	35216	35951	37871	32969	4713
18002	27923	27020	24833	34986	27485	26546	29939	25894	39663
18003	16158	18078	31287	4809	40752	40718	22828	37484	24626
18004	27117	8359	27303	7434	17314	16746	27490	10405	8466
18005	18405	4935	18182	10490	6449	6361	17823	3745	19249
18006	23494	19446	32597	13010	25750	25137	43952	20622	35965
18007	19257	26928	17224	12303	28026	27408	19362	28598	24027
18008	18078	23694	14908	26098	14386	14036	14944	27868	26570
18009	21890	6460	14210	22457	2392	2424	15600	1327	39435
18010	23398	8757	22800	14652	6287	6440	20541	5730	8211
18011	4689	20095	16121	24676	23919	25262	18332	16008	8893
18012	15052	30273	24633	30148	29138	30738	35885	27690	31483
18013	15520	17459	14287	39597	21412	21130	12022	12715	38746
18014	22319	15718	22632	9265	16339	16742	20723	17991	2800
18015	8560	28234	24038	40819	19693	24921	25668	22590	16051
18016	30620	29086	23969	38839	20072	19559	21673	26555	14021
18017	41643	41694	43955	40427	42327	42034	38342	41650	10739
18018	16494	4952	18172	4630	12323	12556	17484	6480	42239
18019	29170	28278	21764	45061	33737	33224	19582	26273	27053
18020	18859	43001	24606	29364	39266	39584	27039	42441	23017
18021	12481	16579	19346	2242	36066	37858	17564	36641	28940
