rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	pagerank	pagerank(filter)	sumM_neigh	rank_out_real	rank_in_real
1	1	2	1	2	20	18	1	11	4405
2	2	1	2	1	12	10	2	5	7141
3	12	23	12	102	29	27	29	16	39119
4	3	3	3	6	4	5	3	3	35464
5	7	5	6	9	92	80	5	59	13147
6	4	7	5	8	39	33	7	56	4470
7	6	17	4	11	138	132	4	105	2834
8	16	27	9	18	116	101	16	81	13869
9	32	54	28	44	250	238	34	167	42995
10	26	11	16	67	8	8	13	6	16978
11	33	45	27	89	103	96	24	151	1571
12	5	14	7	3	146	141	8	83	38620
13	17	28	8	21	162	157	11	90	42806
14	8	9	10	15	68	72	6	97	1923
15	13	10	13	23	14	15	14	41	2750
16	10	8	22	5	62	55	35	71	5044
17	24	49	17	32	269	266	21	135	39599
18	611	5756	366	4187	10245	10636	324	14016	3211
19	48	59	46	94	164	171	48	122	5952
20	21	4	25	24	15	14	20	14	14712
21	18	19	19	17	91	77	22	51	23923
22	45	78	29	96	205	187	28	123	42502
23	38	16	21	100	9	7	10	10	3815
24	14	18	11	12	128	126	18	77	461
25	103	125	23	928	24	20	15	29	9780
26	19	22	20	31	70	71	9	82	17734
27	22	25	15	19	109	95	23	66	30749
28	9	15	18	4	134	127	26	109	7002
29	40	69	37	48	454	442	41	217	42510
30	43	135	41	84	770	737	31	620	2285
31	34	71	24	40	344	318	25	171	39692
32	215	519	115	1174	1180	1071	115	583	19621
33	25	21	32	25	60	54	45	38	14822
34	20	6	34	10	67	59	33	48	44287
35	67	37	51	169	17	16	69	8	33653
36	36	91	35	30	718	677	37	313	22706
37	11	29	14	20	79	108	12	168	3110
38	64	31	40	198	10	9	42	4	11001
39	95	583	71	291	2208	2307	51	4524	9626
40	111	214	116	398	384	364	110	204	20384
41	41	79	31	51	437	409	30	251	38086
42	15	24	26	7	202	193	27	176	170
43	108	271	99	675	234	224	202	210	13837
44	28	64	30	36	331	346	19	312	16343
45	79	255	63	99	1549	1479	60	534	37488
46	96	203	65	422	500	446	73	255	10842
47	23	12	38	13	81	68	44	46	7881
48	42	26	47	76	35	38	38	36	35774
49	1207	4286	509	6705	3160	4268	442	4880	15684
50	70	20	57	154	3	3	47	1	7295
51	73	68	33	239	46	43	17	54	14492
52	56	175	58	63	1371	1281	62	576	41116
53	35	47	39	58	95	92	32	138	685
54	107	587	45	305	3442	3222	36	2441	41568
55	37	63	36	29	275	267	43	185	35248
56	145	532	103	351	2136	1986	82	2915	31719
57	44	86	49	49	441	420	50	227	2479
58	58	52	89	42	255	254	131	133	34432
59	125	77	109	254	72	67	112	89	38232
60	188	184	83	758	75	81	74	60	25937
61	292	1369	228	916	3201	3229	150	2339	699
62	27	13	42	14	69	63	55	57	3835
63	92	218	66	138	488	438	71	469	41916
64	30	38	43	35	140	136	40	158	577
65	55	122	56	65	761	721	57	421	32308
66	88	224	67	116	599	548	81	588	41915
67	65	67	55	155	100	97	39	98	3574
68	39	34	48	27	120	118	61	95	10150
69	47	65	53	43	295	280	53	174	37551
70	29	36	52	16	367	358	65	225	5260
71	51	94	62	55	204	185	85	248	24621
72	105	74	175	69	314	302	219	231	42952
73	54	161	60	56	1242	1161	66	530	40456
74	138	99	77	420	53	53	75	32	41089
75	146	61	183	214	40	41	227	37	22205
76	156	1967	132	2178	3598	3486	235	3489	6032
77	93	160	80	106	371	344	98	386	16028
78	162	400	143	234	836	785	162	796	42189
79	69	82	197	64	555	543	278	562	29465
80	117	41	72	213	11	11	86	9	12270
81	270	973	164	536	2670	2657	129	2393	3304
82	46	56	44	53	163	158	49	94	20267
83	99	661	87	174	6061	5931	105	3219	42183
84	2323	15729	549	8730	14996	14999	497	19505	7268
85	102	261	102	112	1689	1579	108	780	38133
86	517	215	243	1670	30	28	238	26	31885
87	94	233	93	108	1635	1543	104	680	44956
88	50	85	50	61	249	233	64	202	43273
89	164	273	88	419	587	564	59	559	23623
90	49	43	94	47	57	89	77	116	4977
91	78	133	75	83	479	444	101	257	42632
92	218	903	407	620	4003	3825	565	1128	35385
93	131	239	105	168	959	901	116	436	43141
94	240	237	117	765	145	154	88	121	38418
95	31	33	61	33	86	93	54	172	5785
96	228	323	174	467	756	732	200	514	5040
97	200	72	70	759	2	2	87	0	24167
98	142	391	141	179	2100	1979	157	1060	41508
99	63	75	73	62	350	330	92	186	8164
100	178	53	97	486	1	1	125	2	11141
101	59	84	54	57	499	468	63	241	40303
102	149	166	153	474	59	47	158	175	34732
103	62	30	121	45	125	121	140	78	33836
104	193	369	308	491	734	715	359	790	469
105	75	98	81	133	198	269	56	254	32333
106	72	57	69	77	178	166	95	92	39828
107	61	80	76	50	206	192	109	263	36041
108	124	164	171	78	1265	1169	177	721	16611
109	80	83	64	92	246	225	79	134	42798
110	53	32	128	22	82	73	201	85	16348
111	120	211	85	143	594	568	99	323	38427
112	262	925	147	973	1466	1488	123	1293	4865
113	132	257	150	134	1427	1324	178	574	35208
114	71	104	114	41	560	510	119	351	13190
115	391	423	352	554	894	878	337	603	3235
116	82	251	79	85	1753	1702	90	766	25689
117	113	162	107	117	703	659	120	332	41751
118	68	207	59	74	1319	1277	76	713	8192
119	354	930	206	1455	2669	2474	241	1375	39872
120	205	482	200	245	2074	2003	206	1040	32752
121	126	232	98	142	451	408	122	624	14109
122	742	1627	406	2661	1648	1639	386	1894	42129
123	90	93	84	128	210	205	84	155	1110
124	84	96	95	71	407	388	106	240	32719
125	101	108	123	101	185	175	183	247	36181
126	137	116	68	319	74	74	46	76	25560
127	169	55	231	249	27	29	277	17	41150
128	52	48	108	26	365	374	126	262	37157
129	85	146	74	109	431	324	80	362	41445
130	195	425	119	377	1483	1401	93	1147	4638
131	994	1665	877	2462	1608	1603	751	1875	8032
132	104	139	112	95	907	857	133	458	17621
133	157	50	184	150	37	34	187	50	5320
134	151	265	146	153	618	573	169	670	42188
135	106	118	138	132	311	297	159	245	43144
136	74	97	91	59	233	223	130	233	32242
137	212	397	259	414	1958	1933	279	642	36937
138	81	39	78	144	21	25	52	21	35665
139	251	226	221	322	196	173	269	874	43080
140	183	501	390	287	2657	2572	563	1257	36364
141	165	89	130	327	42	39	172	44	14867
142	129	171	137	161	514	464	151	318	40509
143	76	76	126	52	117	105	182	188	44024
144	152	272	90	253	1195	1117	72	884	16315
145	134	144	203	118	834	889	308	552	24574
146	379	985	271	1709	1694	1652	290	817	34623
147	255	183	166	1230	6	12	211	58	3392
148	176	252	156	178	930	883	192	402	38367
149	173	744	101	390	2487	2493	67	2199	311
150	197	101	195	326	61	57	186	31	39134
151	2472	12721	1534	10926	11715	11325	1503	15444	895
152	121	130	120	186	379	341	146	178	22024
153	498	1237	267	1146	1736	1734	176	2096	192
154	660	7051	787	10802	13631	13829	1020	11262	15870
155	87	134	100	70	247	230	142	326	36056
156	98	156	106	131	569	535	111	375	20495
157	513	1197	170	1399	1449	1396	124	1810	7241
158	86	62	96	98	175	165	94	114	32102
159	60	58	110	28	299	278	141	216	41917
160	163	846	135	294	3182	3186	91	2665	309
161	367	692	325	692	1076	1060	246	1418	9018
162	57	46	82	54	151	151	58	162	28053
163	115	153	92	113	606	557	113	302	40837
164	6106	17275	1089	31426	8709	10186	960	15248	30336
165	202	266	245	224	274	261	340	381	36338
166	2000	6387	552	6101	4504	4463	525	6120	4329
167	220	509	211	286	1967	1957	153	1343	266
168	302	503	420	439	1675	1655	503	1384	12067
169	119	126	134	111	340	321	195	208	42855
170	184	296	190	180	330	312	234	667	36225
171	66	42	104	34	195	176	100	99	7428
172	130	192	149	123	283	270	207	399	36218
173	1374	447	1213	1955	110	115	1187	144	9857
174	161	235	220	122	1681	1689	305	913	39593
175	276	756	574	423	3796	3721	703	1245	13311
176	241	359	201	380	1295	1216	205	693	34415
177	194	270	226	222	270	262	307	392	36182
178	207	461	233	529	1187	1152	259	697	33475
179	97	132	125	72	816	708	148	352	42061
180	332	767	364	1128	1833	1714	395	978	32288
181	460	1621	253	997	7517	7517	254	2760	44154
182	2261	7501	1558	4754	27785	26157	1469	21331	41004
183	665	370	326	2836	48	48	321	30	42665
184	100	109	148	81	353	347	225	211	40575
185	234	66	258	257	41	45	251	35	15976
186	153	193	219	137	1093	1063	303	688	37422
187	264	662	237	321	3031	2818	253	1557	43163
188	116	73	189	60	267	257	229	156	28475
189	268	143	162	641	50	49	175	40	36411
190	324	124	225	788	31	31	212	24	40272
191	196	620	179	347	2694	2601	198	1268	44219
192	459	458	351	1135	743	709	470	433	41415
193	160	303	144	166	1527	1382	161	777	42157
194	231	410	296	248	1050	1005	397	511	2268
195	4851	27108	1191	44739	21143	20042	992	25530	13494
196	110	176	160	91	818	740	217	424	39943
197	77	112	122	39	762	733	135	389	31111
198	235	121	186	402	78	70	204	53	37309
199	1079	6876	772	6189	9624	9282	906	9669	33230
200	3973	21133	963	17986	19062	18641	736	19927	10081
201	208	87	129	640	13	13	121	20	20756
202	222	155	157	359	102	104	132	102	20284
203	166	141	214	114	644	614	209	412	17937
204	668	512	732	1695	291	286	825	335	20574
205	863	2181	131	8978	844	803	138	485	22170
206	429	2756	1222	2400	8896	8763	1676	5007	20634
207	83	150	127	124	459	494	83	507	22690
208	114	173	181	73	654	620	233	349	27999
209	182	187	208	199	240	220	280	328	36045
210	295	576	222	472	1946	2056	164	1447	37538
211	91	95	124	68	201	179	156	226	23562
212	172	123	207	146	188	181	166	229	1251
213	199	88	252	458	32	32	314	12	43231
214	206	356	188	200	1670	1596	224	712	43412
215	89	115	178	37	672	640	222	341	2782
216	312	892	304	517	4331	4152	339	1927	44679
217	420	275	370	1283	107	110	424	84	39449
218	198	463	113	964	313	384	103	475	6916
219	540	1700	343	2886	3150	3015	419	1348	20310
220	380	418	86	1669	213	213	70	195	39969
221	158	455	111	376	1244	1227	68	1479	257
222	425	2018	606	1614	2469	2462	603	4598	29919
223	721	2975	717	1949	5108	4987	691	6702	4161
224	175	738	140	330	2981	2990	89	2281	66
225	888	4221	1328	4800	12776	11582	1679	4082	41731
226	728	4335	1407	9995	2904	2919	2126	2264	34340
227	171	189	275	119	912	886	376	444	37705
228	168	200	305	97	1654	1722	481	1022	24798
229	4583	15314	2130	15818	18647	18809	1916	20422	18991
230	1673	6566	532	5044	5524	5543	412	7932	2842
231	189	246	216	209	964	893	265	355	10895
232	118	142	158	88	545	516	188	299	30723
233	263	506	524	731	937	921	559	652	5175
234	282	186	282	720	64	66	299	52	21805
235	128	136	218	90	214	202	328	288	4031
236	781	3457	630	5649	7059	6538	798	2590	44794
237	1524	22785	151	17185	25938	25318	145	22678	11025
238	296	847	239	1228	2606	2401	302	1218	22290
239	139	221	213	126	847	819	264	416	10706
240	226	333	177	247	1263	1194	216	541	43298
241	844	3514	706	1193	14072	14720	602	9340	30225
242	201	829	199	399	2109	2109	266	1239	30895
243	895	609	462	1537	165	147	553	1687	43533
244	542	5006	118	5994	6792	6441	139	3744	38116
245	746	720	331	1095	1267	1185	275	1027	20441
246	133	140	194	149	335	322	167	415	4558
247	1913	5851	2010	6554	10394	10014	2194	12216	14176
248	401	869	609	521	4592	4330	800	1431	14449
249	664	2202	443	3956	3641	3559	615	1521	37580
250	209	334	161	231	1095	1008	181	633	43826
251	224	201	310	162	398	380	417	384	42808
252	2214	6289	1421	7848	6209	6108	1192	14204	10086
253	259	319	145	669	556	570	137	264	44920
254	1019	34068	3525	24481	39569	39757	11196	27656	40756
255	272	372	251	223	1864	1753	283	785	28451
256	150	390	212	159	1664	1646	199	1771	2227
257	311	1390	168	693	3534	3487	118	3309	10109
258	185	357	223	373	1560	1457	228	723	25608
259	154	158	278	107	780	773	315	452	6309
260	348	432	436	539	965	918	483	487	11344
261	1732	26545	180	13702	33027	32846	191	28790	7337
262	122	40	169	66	135	128	208	64	42787
263	186	172	154	403	176	180	102	201	201
264	109	90	210	38	408	396	292	249	10287
265	147	81	136	212	44	42	96	87	1439
266	3936	9272	2190	6852	6041	5876	2040	13023	5663
267	349	119	176	722	22	19	171	25	35638
268	112	70	193	46	284	276	261	170	1675
269	467	959	1341	691	4039	4318	2079	3352	34882
270	174	51	269	121	126	122	317	63	37463
271	1904	8800	457	7458	13338	12963	452	12532	20029
272	249	332	599	251	1209	1102	692	558	7963
273	557	1021	893	858	3485	3342	1184	952	36243
274	410	658	391	625	2001	1934	423	1229	34319
275	159	570	173	201	3084	2996	173	2249	16355
276	370	495	417	391	1442	1301	448	608	31387
277	456	308	555	1190	173	191	733	103	44692
278	347	180	626	364	218	251	649	235	27725
279	307	1194	277	716	4620	4435	306	2010	44565
280	476	1257	492	1604	2493	2385	575	1923	24077
281	127	60	272	75	129	145	245	140	613
282	203	403	205	190	2285	2155	232	937	44985
283	242	771	185	494	1778	1932	170	1749	10526
284	1409	8227	545	5498	20986	20960	443	15505	17893
285	279	1066	235	425	9654	9097	258	3261	42268
286	179	35	232	145	18	22	220	18	16615
287	237	415	279	525	1337	1255	309	650	13281
288	424	818	398	626	2408	2251	450	1763	43213
289	350	837	540	482	3499	3263	674	1316	13916
290	345	190	472	243	712	698	444	471	15445
291	1884	4387	1008	3027	6658	6831	758	9325	1002
292	285	382	458	246	1575	1403	548	783	33441
293	4446	33118	1234	42721	28949	28887	1002	31633	7890
294	318	389	315	450	774	820	394	813	16506
295	250	202	198	368	251	256	149	246	8031
296	239	322	281	187	931	881	351	449	5489
297	1131	1696	475	4279	1125	1110	520	591	25850
298	204	170	393	273	83	99	389	200	5659
299	170	44	286	82	108	91	358	72	39178
300	290	1426	152	782	2093	1944	134	5250	35902
301	144	277	172	141	1127	1127	127	1003	22733
302	136	117	139	185	132	135	114	183	443
303	2318	8912	2907	33733	6125	5918	3854	4242	18586
304	141	131	182	181	174	178	136	189	11168
305	1089	7265	1491	5651	21338	20898	1874	13515	14511
306	260	526	456	197	6086	5625	474	2467	997
307	3343	18530	1682	18201	19091	18861	1565	22311	11073
308	143	147	187	87	833	799	213	369	44897
309	253	295	257	386	425	551	180	417	14562
310	192	191	191	261	375	350	154	428	3719
311	291	404	302	240	1437	1321	396	725	43380
312	167	204	264	93	406	379	364	654	43357
313	500	770	1115	1270	1506	1497	1663	1641	44887
314	233	317	372	215	882	988	301	837	2369
315	219	282	215	252	798	754	260	360	41249
316	709	705	748	878	1499	1397	721	908	12033
317	1667	7153	1165	4402	13704	13345	1091	20064	22021
318	756	1561	939	1482	4119	3806	934	2462	34760
319	406	476	419	384	827	791	554	843	42095
320	1028	9707	387	8306	12368	12134	332	12363	8190
321	616	2254	1403	2563	5622	5548	1776	2438	13514
322	217	666	240	255	3080	2867	262	2089	7064
323	123	178	133	216	322	340	78	377	33533
324	390	546	618	407	2205	2112	778	971	42641
325	655	1526	380	2136	1591	1742	350	1408	9807
326	1455	3082	1257	5582	3033	2822	1291	2276	5839
327	1824	3424	1598	4911	3145	3280	1478	3195	18939
328	396	937	629	615	2673	2609	677	1660	31254
329	180	388	155	156	2244	2139	189	1002	36024
330	588	1199	382	1044	2115	2004	411	1501	44293
331	482	1632	846	1919	3763	3675	1206	1254	6341
332	261	110	246	323	55	64	190	70	26209
333	266	445	312	184	645	584	399	1430	43476
334	454	695	434	709	2130	2078	564	767	40461
335	210	327	229	206	1398	1274	248	617	40713
336	378	300	319	968	141	150	286	184	13054
337	510	1260	289	1134	1890	1903	365	1496	447
338	300	1338	521	1563	3353	3338	622	1663	25254
339	671	1352	778	1129	2491	2373	714	2933	13707
340	287	538	314	278	2637	2524	409	1286	44245
341	494	1157	342	1314	3311	3124	357	1838	27336
342	187	137	397	86	595	590	524	388	42968
343	516	842	507	697	2010	1885	577	1700	43215
344	366	498	976	219	3018	2828	1266	3221	36928
345	284	114	488	165	144	259	589	244	44017
346	309	682	262	379	2579	2503	372	1222	44538
347	280	479	159	507	1067	1021	117	860	7463
348	473	120	339	784	16	17	420	15	10017
349	415	660	291	535	1607	1532	344	1019	35138
350	342	508	412	464	1490	1390	478	1276	11180
351	559	2111	244	1476	5230	5145	193	5341	2793
352	613	1800	142	3260	1011	1014	97	1443	4980
353	243	394	165	354	828	795	107	1081	369
354	693	497	363	2591	98	109	539	137	18182
355	288	568	250	236	3387	3017	273	1125	41228
356	329	561	297	367	1399	1477	252	1376	21338
357	229	279	268	208	858	860	218	616	32132
358	359	247	192	1427	52	51	160	34	44906
359	244	230	256	272	518	490	221	406	3827
360	257	260	284	204	890	758	294	526	43576
361	452	361	335	1006	285	283	244	325	4062
362	501	1684	274	1083	4542	4402	184	3306	24742
363	213	364	224	285	900	884	168	1401	1984
364	2184	9408	854	10217	7354	7163	726	8407	1389
365	135	103	163	151	248	252	128	163	42471
366	478	310	523	1007	282	295	672	166	44635
367	286	325	254	429	567	580	214	407	1520
368	583	2345	332	1227	9512	9318	377	4244	42583
369	191	241	242	175	633	606	230	479	778
370	831	3037	564	1761	9905	9833	415	6461	21442
371	275	331	418	387	397	465	348	499	18252
372	306	245	306	218	902	852	369	356	40053
373	148	151	247	80	851	789	284	440	36987
374	5791	7099	1878	19593	2612	2629	1619	2418	33002
375	506	474	167	2339	222	248	144	152	35765
376	385	524	341	546	1438	1320	382	757	43483
377	155	128	238	115	278	290	194	364	3150
378	316	268	330	265	795	781	285	629	3022
379	1958	5395	295	16426	6934	6285	316	3339	30138
380	256	106	371	203	238	221	356	199	331
381	431	1741	514	719	6113	5794	401	6098	96
382	331	575	196	607	1200	1195	165	2256	11304
383	4225	9636	1673	8762	6724	6773	1212	10323	3032
384	453	424	410	701	404	443	345	435	1813
385	505	1642	795	1840	4242	3954	935	1256	43963
386	423	565	375	672	1112	1089	323	1319	17190
387	5349	24452	1044	41934	20318	19965	959	19557	1327
388	938	1970	821	2169	3305	3581	1021	1393	12191
389	384	484	338	1005	393	402	242	398	10554
390	689	174	686	1233	28	30	903	27	12615
391	323	486	359	662	1632	1515	370	703	17022
392	351	499	455	503	949	902	479	1069	8206
393	450	772	617	544	2035	1927	789	1701	39302
394	1434	18714	287	16485	26947	26985	276	22983	7641
395	389	339	590	371	1391	1476	856	1116	29388
396	334	1214	255	680	1711	1782	257	2520	11618
397	1505	5505	500	11255	7928	7716	495	3618	34482
398	140	100	209	105	219	222	185	258	10223
399	273	320	316	173	1455	1368	354	747	41433
400	503	111	680	483	33	36	669	74	35459
401	252	630	249	575	1686	1717	155	1275	12820
402	277	349	270	268	310	291	343	528	36178
403	2838	5963	841	5997	3569	3580	667	5826	1484
404	387	420	285	971	307	315	196	330	35884
405	320	353	333	297	942	821	421	676	42636
406	780	900	684	1205	2591	2359	780	1146	32841
407	238	222	280	183	527	512	373	363	40978
408	437	2122	518	857	8948	8810	607	4119	40065
409	630	1524	1866	3145	1248	1072	1989	1246	36104
410	405	307	459	552	547	569	459	441	32155
411	398	169	508	392	131	138	532	110	7999
412	1076	8602	2097	6726	12289	8774	2759	11637	44722
413	408	154	537	496	127	139	599	91	30526
414	430	679	355	822	1251	1204	490	752	43970
415	413	539	431	401	1886	1779	393	1189	2550
416	246	412	427	343	597	660	342	753	1840
417	8806	20009	2621	43278	6958	7086	2135	12806	1986
418	339	185	323	410	154	137	422	127	36783
419	211	298	283	163	382	325	371	674	43652
420	544	157	230	1335	25	24	223	7	29184
421	363	4064	1051	1080	30641	30732	1488	19179	45059
422	1500	13050	2257	18199	15593	26163	2853	14702	18018
423	1338	5113	1267	4749	13599	12964	1666	5804	40412
424	499	1001	334	868	2707	2634	456	1487	42401
425	623	1081	935	3325	804	775	1272	730	38138
426	333	603	313	280	2337	2210	434	1007	43105
427	301	680	236	456	3122	2974	163	2098	9438
428	469	1508	383	941	3944	3868	433	6061	6350
429	599	801	1095	1624	1065	1029	1191	679	10178
430	314	242	354	210	584	541	467	338	30913
431	386	545	623	309	1317	1398	604	1504	5588
432	177	248	263	103	1014	962	304	561	31308
433	299	297	317	195	309	296	477	493	36176
434	353	384	358	303	316	301	500	595	36184
435	365	991	365	644	3065	2929	391	1549	44505
436	1349	13009	494	4708	23458	23329	449	21898	24907
437	265	159	241	324	121	124	231	177	16134
438	440	1449	744	1171	4904	4534	898	1547	40273
439	491	1259	734	1598	1388	1306	797	1836	2424
440	472	665	857	2073	123	113	1062	992	43626
441	438	707	614	642	1246	1253	729	900	4708
442	3052	4720	2059	4830	4664	4509	1802	8778	6567
443	236	395	227	318	805	808	143	821	370
444	216	138	349	110	345	337	496	213	43394
445	977	2484	1564	3358	4971	4609	1969	1827	39809
446	1120	2559	1424	1914	7505	7387	1188	5324	10614
447	377	514	276	466	1219	1135	330	626	43548
448	317	336	340	283	1075	1032	407	607	17739
449	550	2346	1073	1293	9031	9022	1368	3875	44439
450	254	163	403	125	528	544	568	294	1314
451	294	426	444	176	1772	1737	516	965	11274
452	371	381	438	263	1478	1343	545	615	33372
453	474	918	536	478	3350	3322	522	1784	41468
454	1923	1573	1269	5969	602	582	1159	497	30993
455	2567	11090	2875	11204	23085	23118	3359	13013	29179
456	2509	9318	1616	7754	24715	23575	2105	12999	42230
457	304	287	322	235	534	487	461	337	31546
458	338	696	261	421	1606	1503	311	1126	33887
459	421	786	329	462	2678	2557	281	1351	20157
460	525	975	631	304	6435	6111	606	3640	27062
461	190	362	292	307	772	782	267	681	39949
462	771	3015	290	2085	4550	4496	210	5467	130
463	754	4312	899	1838	15101	14909	648	12912	23347
464	568	1239	503	635	3296	3098	511	2876	42852
465	1080	348	394	2033	88	86	360	39	29495
466	278	208	318	244	369	355	428	284	36382
467	972	961	727	1387	1281	1316	551	1400	27279
468	447	354	416	863	193	211	327	234	37223
469	446	288	670	310	876	877	705	690	28223
470	759	470	273	1770	254	245	255	243	10584
471	221	219	396	164	860	836	471	549	8634
472	330	536	234	773	849	845	147	731	10489
473	1226	2624	517	3421	3634	3362	475	4509	24364
474	407	718	651	500	1284	1451	643	1346	11679
475	3357	20992	1628	13226	18339	18103	1332	25465	3609
476	813	799	1016	1132	1714	1491	1234	700	24835
477	328	313	516	182	866	830	573	466	20515
478	479	216	470	1188	38	37	440	33	34583
479	562	710	770	481	2395	2243	987	953	20054
480	232	149	299	136	513	480	368	267	42593
481	553	2061	583	1148	8685	8589	724	3880	31453
482	7006	36822	2495	24489	32183	31367	2269	34872	13873
483	418	1457	482	789	2048	2073	748	3174	36872
484	442	182	792	627	122	134	855	111	34990
485	289	177	386	196	391	377	517	242	24671
486	803	564	884	1623	414	470	1102	538	25593
487	968	2147	202	5924	1596	1544	174	601	43454
488	223	488	344	135	5296	4966	326	2718	10165
489	297	105	527	129	272	272	685	187	13991
490	4590	10651	490	20400	6939	6591	451	19120	35212
491	948	749	1170	1002	1214	1184	1172	830	7091
492	375	643	550	629	1420	1275	469	2039	16331
493	663	549	722	1186	782	750	917	432	8888
494	637	379	288	1694	149	156	243	125	34510
495	293	443	356	202	1604	1501	489	956	32059
496	327	227	300	217	859	811	355	374	40735
497	470	236	485	1094	58	56	529	73	44393
498	495	787	1249	580	2938	2719	1568	958	32125
499	310	563	266	460	1154	1203	179	1480	8955
500	734	1830	608	1313	7802	6915	769	3776	8033
501	227	213	452	79	1218	1153	574	571	37065
502	614	259	634	588	235	219	620	276	20330
503	547	1221	1653	1480	2351	2260	2153	816	43918
504	3935	37613	785	26265	37213	38114	956	37897	24348
505	471	1401	561	2434	2229	2529	668	1325	12414
506	439	1125	426	717	3299	3160	352	2982	29312
507	399	205	320	603	93	100	226	214	5110
508	1590	2321	1252	2218	8236	7702	1499	2398	18870
509	344	730	424	335	1885	1820	633	1014	2031
510	589	3167	217	3867	2532	2518	247	3067	38657
511	181	148	260	130	356	357	236	350	5446
512	1086	6818	594	8950	3903	3973	851	4287	5328
513	770	284	1863	787	279	284	2463	282	25027
514	806	3176	437	1948	8300	8187	289	10019	2321
515	335	1810	265	1039	6541	6431	240	3981	1525
516	485	1035	449	659	2235	2149	578	1741	41750
517	355	435	401	301	362	335	542	739	36226
518	1228	874	824	1676	576	572	712	993	1433
519	1430	3076	2533	2059	12298	12047	3025	4621	2162
520	522	970	675	1280	2002	1930	785	1123	32137
521	271	350	303	288	679	688	215	708	19683
522	975	967	588	2431	342	369	534	519	9680
523	602	559	466	724	390	501	458	646	7534
524	248	212	433	120	318	294	608	423	43920
525	372	302	674	229	521	586	786	810	23170
526	533	2641	635	2223	5079	4915	501	4757	394
527	578	1904	327	749	9444	9236	378	3515	42519
528	796	742	707	1424	464	499	652	604	14549
529	358	263	392	258	872	831	476	542	3404
530	340	223	381	282	579	527	460	358	9940
531	2898	7025	1217	7727	4029	3941	1001	14410	10742
532	554	427	415	699	727	673	392	625	1444
533	529	923	656	520	3147	2864	824	2304	43579
534	744	2328	641	917	12927	12331	711	6047	43818
535	321	693	324	315	2757	2694	363	1627	11841
536	393	376	535	292	319	303	719	506	36044
537	845	462	849	1277	231	228	696	265	5412
538	245	244	399	104	1149	1100	504	527	1875
539	858	715	1160	1199	976	944	1209	643	20325
540	1477	1335	1696	3292	502	566	1628	647	4441
541	412	276	544	238	1210	1132	642	668	713
542	726	2031	374	1834	5845	5456	465	2568	25910
543	394	510	471	317	410	386	609	1073	36219
544	305	392	379	172	1927	1874	385	1574	5380
545	523	1248	465	1018	2417	2341	366	1693	18313
546	436	504	473	360	1493	1394	592	1000	43547
547	480	374	497	374	273	260	663	463	35922
548	1818	8365	766	10849	14022	13258	787	11307	12744
549	298	254	469	171	670	723	439	524	495
550	395	676	309	394	2524	2443	413	1227	40644
551	269	330	454	158	1882	1758	569	831	24525
552	369	283	439	232	951	871	432	448	42859
553	1800	18458	357	29509	20055	19967	435	12378	37807
554	364	534	328	442	848	885	295	931	853
555	508	1290	1107	1763	2483	2323	1530	930	23424
556	283	368	369	127	1731	1582	455	955	41135
557	1121	2368	969	1707	5028	4871	1088	3516	19808
558	841	3020	596	1769	7240	7036	484	8608	640
559	267	113	413	191	54	61	341	119	1982
560	786	1886	610	850	8332	8045	681	2833	20420
561	441	941	362	435	4118	3923	336	2606	14171
562	585	2481	1793	3873	5730	5808	1642	2341	12353
563	2321	7754	2649	18116	10447	10411	3039	4787	19996
564	1007	3301	964	2457	3445	4695	870	4428	30593
565	2732	3289	2062	4056	3922	3703	1755	5022	9774
566	4913	20060	1631	12223	20008	19796	1278	21408	11931
567	468	598	697	449	731	725	796	1111	1100
568	281	127	204	448	49	46	152	62	4691
569	531	502	958	708	1243	1270	1094	1178	44710
570	432	492	562	270	685	643	657	1943	44819
571	628	1740	1084	682	8627	8239	1417	3208	33409
572	451	1114	580	683	1971	1922	558	2143	40815
573	352	904	345	543	3330	3331	249	2270	6120
574	1735	5405	1700	6632	17159	16597	1719	7922	33645
575	5178	38281	2667	23906	34408	34364	2710	37903	33654
576	1400	748	1354	1117	1565	1470	1179	1195	27714
577	466	2123	336	851	8386	8155	287	5931	17523
578	1521	5052	1351	44496	1392	1326	1538	1042	34610
579	679	1596	1000	1026	4490	4104	1255	2117	44266
580	381	478	346	296	1795	1678	427	876	43883
581	1057	9080	248	7231	10271	10259	298	12749	1991
582	1692	3751	1025	3910	8401	8149	941	5946	36634
583	951	2200	1683	1084	9114	8536	2010	5309	31376
584	2916	12024	2644	7949	23798	24210	2147	20304	6553
585	752	804	973	735	2400	2259	897	1854	38987
586	1068	2944	1977	3695	5776	6360	2662	2444	15339
587	1799	4565	705	4175	5449	5331	523	6397	1125
588	322	437	377	413	1089	1051	272	881	1947
589	2233	10348	1893	8265	19406	18828	1728	18295	4959
590	530	358	1174	567	423	421	1364	494	408
591	723	1528	489	1677	2241	2455	398	1630	26390
592	541	2493	604	1116	11717	11646	688	4708	44217
593	357	604	294	831	604	627	197	835	7180
594	889	965	1114	715	3736	3441	1299	1096	38672
595	930	234	1712	1395	51	52	2156	47	19647
596	462	678	400	530	1733	1613	514	793	42941
597	992	1312	1562	1386	3058	3426	1820	2012	45034
