1	1	2
2	2	1
3	12	23
4	3	3
5	7	5
6	4	7
7	6	17
8	16	27
9	32	54
10	26	11
11	33	45
12	5	14
13	17	28
14	8	9
15	13	10
16	10	8
17	24	49
18	611	5756
19	48	59
20	21	4
21	18	19
22	45	78
23	38	16
24	14	18
25	103	125
26	19	22
27	22	25
28	9	15
29	40	69
30	43	135
31	34	71
32	215	519
33	25	21
34	20	6
35	67	37
36	36	91
37	11	29
38	64	31
39	95	583
40	111	214
41	41	79
42	15	24
43	108	271
44	28	64
45	79	255
46	96	203
47	23	12
48	42	26
49	1207	4286
50	70	20
51	73	68
52	56	175
53	35	47
54	107	587
55	37	63
56	145	532
57	44	86
58	58	52
59	125	77
60	188	184
61	292	1369
62	27	13
63	92	218
64	30	38
65	55	122
66	88	224
67	65	67
68	39	34
69	47	65
70	29	36
71	51	94
72	105	74
73	54	161
74	138	99
75	146	61
76	156	1967
77	93	160
78	162	400
79	69	82
80	117	41
81	270	973
82	46	56
83	99	661
84	2323	15729
85	102	261
86	517	215
87	94	233
88	50	85
89	164	273
90	49	43
91	78	133
92	218	903
93	131	239
94	240	237
95	31	33
96	228	323
97	200	72
98	142	391
99	63	75
100	178	53
101	59	84
102	149	166
103	62	30
104	193	369
105	75	98
106	72	57
107	61	80
108	124	164
109	80	83
110	53	32
111	120	211
112	262	925
113	132	257
114	71	104
115	391	423
116	82	251
117	113	162
118	68	207
119	354	930
120	205	482
121	126	232
122	742	1627
123	90	93
124	84	96
125	101	108
126	137	116
127	169	55
128	52	48
129	85	146
130	195	425
131	994	1665
132	104	139
133	157	50
134	151	265
135	106	118
136	74	97
137	212	397
138	81	39
139	251	226
140	183	501
141	165	89
142	129	171
143	76	76
144	152	272
145	134	144
146	379	985
147	255	183
148	176	252
149	173	744
150	197	101
151	2472	12721
152	121	130
153	498	1237
154	660	7051
155	87	134
156	98	156
157	513	1197
158	86	62
159	60	58
160	163	846
161	367	692
162	57	46
163	115	153
164	6106	17275
165	202	266
166	2000	6387
167	220	509
168	302	503
169	119	126
170	184	296
171	66	42
172	130	192
173	1374	447
174	161	235
175	276	756
176	241	359
177	194	270
178	207	461
179	97	132
180	332	767
181	460	1621
182	2261	7501
183	665	370
184	100	109
185	234	66
186	153	193
187	264	662
188	116	73
189	268	143
190	324	124
191	196	620
192	459	458
193	160	303
194	231	410
195	4851	27108
196	110	176
197	77	112
198	235	121
199	1079	6876
200	3973	21133
201	208	87
202	222	155
203	166	141
204	668	512
205	863	2181
206	429	2756
207	83	150
208	114	173
209	182	187
210	295	576
211	91	95
212	172	123
213	199	88
214	206	356
215	89	115
216	312	892
217	420	275
218	198	463
219	540	1700
220	380	418
221	158	455
222	425	2018
223	721	2975
224	175	738
225	888	4221
226	728	4335
227	171	189
228	168	200
229	4583	15314
230	1673	6566
231	189	246
232	118	142
233	263	506
234	282	186
235	128	136
236	781	3457
237	1524	22785
238	296	847
239	139	221
240	226	333
241	844	3514
242	201	829
243	895	609
244	542	5006
245	746	720
246	133	140
247	1913	5851
248	401	869
249	664	2202
250	209	334
251	224	201
252	2214	6289
253	259	319
254	1019	34068
255	272	372
256	150	390
257	311	1390
258	185	357
259	154	158
260	348	432
261	1732	26545
262	122	40
263	186	172
264	109	90
265	147	81
266	3936	9272
267	349	119
268	112	70
269	467	959
270	174	51
271	1904	8800
272	249	332
273	557	1021
274	410	658
275	159	570
276	370	495
277	456	308
278	347	180
279	307	1194
280	476	1257
281	127	60
282	203	403
283	242	771
284	1409	8227
