rank_emul	rank_star	rank_outdeg	rank_tweet	pagerank	sumMnei
243	329	421	12474	365	498
244	280	749	11153	888	4924
245	270	898	13166	573	7608
246	96	152	508	346	156
247	187	108	1752	285	107
248	866	255	11171	210	352
249	277	996	11224	619	7990
250	324	133	5520	298	128
251	288	226	4918	243	302
252	247	192	3075	345	186
253	66	135	124	101	121
254	384	104	5965	343	85
255	266	870	8174	575	5837
256	252	407	2400	495	479
257	211	94	3320	157	54
258	323	130	7109	300	137
259	862	259	7522	430	389
260	343	178	6666	240	176
261	321	193	5131	282	252
262	297	103	2491	311	82
263	165	236	1353	313	230
264	290	1215	9036	712	8097
265	125	265	735	270	358
266	303	730	12623	541	4222
267	313	786	11192	600	4474
268	424	158	1686	304	144
269	300	126	114	383	55
270	148	253	317	299	243
271	523	244	7599	448	248
272	160	283	588	487	276
273	607	949	7215	615	7442
274	459	572	4419	408	685
275	195	136	1031	269	93
276	311	1123	10055	709	4256
277	882	362	5043	385	507
278	624	156	5073	429	179
279	359	990	9284	725	6939
280	231	200	1055	353	216
281	287	365	2234	424	405
282	333	474	12940	568	553
283	372	376	5883	107	434
284	263	157	2316	347	134
285	196	195	3382	211	198
286	497	234	2354	445	299
287	604	503	11575	561	1024
288	344	1245	13430	785	7893
289	495	1202	9711	836	6950
290	314	770	7937	630	4796
291	238	147	1024	329	142
292	334	1281	12422	727	8909
293	312	943	5085	637	6054
294	885	344	7731	156	429
295	346	1155	12845	743	8096
296	69	148	293	130	118
297	511	204	2850	443	235
298	391	263	9522	193	360
299	556	176	6691	126	174
300	309	280	5540	507	264
301	413	144	3432	100	129
302	383	710	8345	647	4941
303	521	469	6527	406	988
304	381	931	10894	711	2504
305	477	350	1898	564	369
306	161	198	3492	114	166
307	491	169	421	273	136
308	402	273	1644	184	291
309	306	885	9196	683	6369
310	349	1396	12230	201	9358
311	167	408	398	296	661
312	317	589	5077	612	886
313	370	842	8947	636	2130
314	392	179	2178	218	149
315	544	1110	6769	928	6330
316	283	583	3511	560	822
317	404	547	10232	569	683
318	617	131	4276	380	91
319	351	141	2634	362	143
320	586	772	3979	531	1865
321	152	460	504	80	718
322	347	1085	12820	758	3518
323	373	831	9787	655	1147
324	484	215	3296	274	306
325	400	799	9633	762	1804
326	362	1462	13034	872	9359
327	358	787	13256	656	5114
328	364	1492	9436	871	8908
329	382	330	3614	292	461
330	389	339	5566	558	388
331	385	1080	5752	766	5022
332	403	1063	12518	787	5287
333	380	857	8264	804	978
334	260	140	1019	289	127
335	213	188	1540	359	157
336	454	439	8199	544	475
337	779	596	12700	402	808
338	289	291	2387	204	283
339	336	194	4909	78	197
