1	3
2	5
3	2
4	1
5	7
6	15
7	9
8	12
9	4
10	20
11	13
12	16
13	6
14	31
15	24
16	8
17	32
18	17
19	18
20	51
21	121
22	26
23	19
24	28
25	22
26	21
27	68
28	37
29	44
30	47
31	23
32	58
33	145
34	27
35	52
36	10
37	33
38	25
39	14
40	38
41	11
42	88
43	54
44	97
45	78
46	56
47	39
48	64
49	46
50	59
51	50
52	29
53	62
54	101
55	75
56	73
57	151
58	36
59	83
60	65
61	55
62	89
63	110
64	72
65	48
66	124
67	35
68	98
69	74
70	86
71	34
72	122
73	115
74	106
75	92
76	30
77	147
78	111
79	80
80	70
81	41
82	117
83	184
84	79
85	105
86	156
87	67
88	91
89	94
90	90
91	143
92	118
93	76
94	281
95	209
96	155
97	60
98	188
99	216
100	61
101	131
102	262
103	197
104	177
105	138
106	108
107	57
108	82
109	126
110	42
111	128
112	210
113	85
114	159
115	273
116	164
117	227
118	199
119	272
120	244
121	109
122	104
123	93
124	87
125	112
126	150
127	355
128	123
129	71
130	137
131	265
132	45
133	225
134	129
135	100
136	173
137	49
138	63
139	170
140	205
141	153
142	246
143	176
144	230
145	240
146	166
147	114
148	127
149	307
150	193
151	103
152	337
153	181
154	157
155	282
156	99
157	327
158	192
159	812
160	146
161	191
162	185
163	142
164	116
165	53
166	43
167	180
168	222
169	849
170	257
171	254
172	443
173	190
174	149
175	271
176	194
177	235
178	189
179	139
180	174
181	182
182	667
183	203
184	352
185	212
186	102
187	251
188	172
189	95
190	135
191	707
192	406
193	236
194	253
195	228
196	119
197	269
198	431
199	107
200	229
201	310
202	249
203	285
204	284
205	451
206	154
207	276
208	218
209	40
210	258
211	393
212	120
213	81
214	141
215	198
216	201
217	356
218	452
219	296
220	224
221	681
222	130
223	245
224	84
225	220
226	140
227	295
228	340
229	363
230	186
231	255
232	204
233	279
234	200
235	658
236	540
237	162
238	264
239	377
240	687
241	132
242	302
243	329
244	280
245	270
246	96
247	187
248	866
249	277
250	324
251	288
252	247
253	66
254	384
255	266
256	252
257	211
258	323
259	862
260	343
261	321
262	297
263	165
264	290
265	125
266	303
267	313
268	424
269	300
270	148
271	523
272	160
273	607
274	459
275	195
276	311
277	882
278	624
279	359
280	231
281	287
282	333
283	372
284	263
285	196
286	497
287	604
288	344
289	495
290	314
291	238
292	334
293	312
294	885
295	346
296	69
297	511
298	391
299	556
300	309
301	413
302	383
303	521
304	381
305	477
306	161
307	491
308	402
309	306
310	349
311	167
312	317
313	370
314	392
315	544
316	283
317	404
318	617
319	351
320	586
321	152
322	347
323	373
324	484
325	400
326	362
327	358
328	364
329	382
330	389
331	385
332	403
333	380
334	260
335	213
336	454
337	779
338	289
339	336
340	339
341	549
342	441
343	342
344	366
345	316
346	401
347	591
348	368
349	175
350	616
351	360
352	416
353	375
354	550
355	567
356	387
357	221
358	274
359	217
360	168
361	134
362	835
363	171
364	517
365	457
366	233
367	318
368	328
369	113
370	505
371	278
372	463
373	348
374	308
375	417
376	250
377	950
378	489
379	420
380	354
381	1221
382	409
383	291
384	144
385	509
386	444
387	414
388	378
389	614
390	418
391	930
392	341
393	684
394	569
395	641
396	516
397	268
398	912
399	613
400	698
401	766
402	461
403	407
404	397
405	331
406	492
407	421
408	493
409	446
410	399
411	851
412	462
413	294
414	432
415	606
416	435
417	922
418	1230
419	513
420	471
421	768
422	565
423	598
424	394
425	494
426	470
427	468
428	286
429	207
430	427
431	499
432	732
433	448
434	593
435	634
436	723
437	232
438	330
439	636
440	320
441	464
442	460
443	654
444	739
445	575
446	473
447	1291
448	450
449	717
450	663
451	325
452	169
453	626
454	501
455	226
456	261
457	429
458	415
459	500
460	275
461	486
462	442
463	679
464	483
465	671
466	379
467	514
468	335
469	326
470	440
471	609
472	369
473	643
474	506
475	510
476	526
477	754
478	386
479	736
480	350
481	428
482	532
483	243
484	580
485	596
486	537
487	1070
488	481
489	425
490	449
491	546
492	465
493	889
494	672
495	496
496	644
497	547
498	527
499	645
500	478
501	529
502	814
503	632
504	1135
505	534
506	642
507	512
508	558
509	208
510	206
511	474
512	241
513	267
514	807
515	562
516	710
517	487
518	944
519	376
520	603
521	686
522	234
523	467
524	647
525	1393
526	504
527	574
528	628
529	179
530	515
531	475
532	1823
533	582
534	304
535	1148
536	298
537	803
538	1041
539	622
540	456
541	543
542	637
543	542
544	367
545	479
546	784
547	683
548	557
549	886
550	430
551	765
552	545
553	183
554	809
555	692
556	592
557	453
558	422
559	338
560	918
561	488
562	819
563	662
564	824
565	438
566	653
567	1102
568	568
569	584
570	1173
571	1115
572	633
573	485
574	374
575	563
576	612
577	990
578	697
579	822
580	802
581	618
582	623
583	202
584	708
585	490
586	793
587	657
588	553
589	853
590	821
591	1926
592	577
593	585
594	395
595	405
596	798
597	615
598	777
599	806
600	635
601	552
602	502
603	695
604	956
605	694
606	158
607	702
608	631
609	701
610	682
611	651
612	1056
613	745
614	1363
615	677
616	365
617	439
618	503
619	730
620	675
621	1740
622	1282
623	1085
624	472
625	1370
626	904
627	133
628	1265
629	507
630	699
631	357
632	817
633	293
634	659
635	891
