rank_emul	rank_star	rank_outdeg	rank_tweet
358	274	301	785
359	217	966	2936
360	168	216	248
361	134	139	288
362	835	160	895
363	171	183	449
364	517	443	9341
365	457	863	7989
366	233	221	1335
367	318	1058	3748
368	328	441	1222
369	113	122	23
370	505	1139	9131
371	278	290	1423
372	463	958	12228
373	348	1353	10888
374	308	191	3662
375	417	1062	10295
376	250	187	6730
377	950	315	3397
378	489	569	11667
379	420	225	1063
380	354	530	2267
381	1221	406	9012
382	409	277	8006
383	291	911	3937
384	144	146	448
385	509	377	5082
386	444	202	1409
387	414	163	704
388	378	1099	10598
389	614	235	6194
390	418	410	11625
391	930	546	6925
392	341	258	1567
393	684	435	10020
394	569	271	543
395	641	232	4387
396	516	328	4626
397	268	425	450
398	912	282	6055
399	613	1371	10731
400	698	1430	12486
401	766	1015	11457
402	461	937	4001
403	407	989	10475
404	397	1188	2499
405	331	1001	2732
406	492	333	4571
407	421	570	4778
408	493	420	5856
409	446	834	5013
410	399	961	7580
411	851	223	5295
412	462	1523	11945
413	294	224	2810
414	432	777	2682
415	606	619	11464
416	435	246	5167
417	922	272	5084
418	1230	399	7712
419	513	516	7173
420	471	654	4418
421	768	324	9008
422	565	1753	8682
423	598	915	13076
424	394	1520	9339
425	494	213	5402
426	470	1799	12135
427	468	230	5505
428	286	359	8582
429	207	208	883
430	427	1715	13380
431	499	495	7042
432	732	505	11398
433	448	203	4119
434	593	1599	4934
435	634	750	13328
436	723	262	1611
437	232	199	831
438	330	212	1980
439	636	416	5458
440	320	177	994
441	464	1374	12993
442	460	397	5072
443	654	196	4219
444	739	543	2803
445	575	254	4033
446	473	1208	3969
447	1291	264	6072
448	450	561	2559
449	717	705	8875
450	663	1552	10087
451	325	1034	4555
452	169	267	192
453	626	641	13284
454	501	1560	433
455	226	347	1082
456	261	256	858
457	429	620	8850
458	415	411	4654
459	500	1668	8416
460	275	161	1027
461	486	1450	10944
462	442	511	6075
463	679	490	7381
464	483	1866	13368
465	671	417	7803
466	379	293	1933
467	514	758	11644
468	335	1177	12732
469	326	237	719
470	440	288	2975
471	609	1140	5224
472	369	220	1691
473	643	393	7997
474	506	233	3927
475	510	1304	9584
476	526	1607	12701
477	754	336	520
478	386	481	2105
479	736	624	6586
480	350	239	1972
481	428	275	683
482	532	342	3017
483	243	334	315
484	580	1282	11596
485	596	448	3852
486	537	914	11620
487	1070	245	9498
488	481	766	6910
489	425	472	2539
490	449	841	3276
491	546	910	9023
492	465	801	3928
493	889	392	12609
494	672	261	8139
495	496	189	3930
496	644	984	10650
497	547	1640	6129
498	527	1488	10687
499	645	962	13087
500	478	1518	11391
501	529	1446	2915
502	814	1025	7888
503	632	276	1649
504	1135	644	10465
505	534	809	12169
506	642	1482	9636
507	512	687	7450
508	558	2028	9907
509	208	270	400
510	206	310	1743
511	474	981	1320
512	241	296	778
513	267	363	493
514	807	1013	7011
515	562	1432	9964
516	710	309	6960
517	487	1434	13501
518	944	2018	9134
519	376	805	684
520	603	1350	10611
521	686	791	6634
522	234	251	272
523	467	953	7298
524	647	532	11143
525	1393	1620	2894
526	504	238	3215
527	574	351	5257
528	628	704	10683
529	179	340	246
530	515	1367	7907
531	475	284	1549
532	1823	742	12527
533	582	1643	11809
534	304	497	170
535	1148	384	4911
536	298	354	841
537	803	2010	9547
538	1041	507	3146
539	622	2115	13191
540	456	297	269
541	543	1548	10840
542	637	614	4955
543	542	312	3675
544	367	445	3032
545	479	353	2139
546	784	480	7227
547	683	2111	8857
548	557	2190	13165
549	886	1201	9656
550	430	227	1071
551	765	274	2471
552	545	941	9070
553	183	219	72
554	809	360	7564
555	692	1867	11964
556	592	2024	10358
557	453	1807	10495
558	422	257	460
559	338	240	113
560	918	541	9190
561	488	325	1210
562	819	1084	6955
563	662	447	3151
564	824	1666	11697
565	438	1116	2049
566	653	703	10520
567	1102	574	9748
568	568	1865	13190
569	584	1487	9362
570	1173	1784	8085
571	1115	2187	10632
572	633	2312	8428
573	485	1097	6498
574	374	380	2083
575	563	551	934
576	612	706	1523
577	990	509	815
578	697	1047	8011
579	822	553	7523
580	802	2112	10822
581	618	1661	3533
