N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0246795,0.0638813,-1.0,21.0,1.0
3,0.0132962,0.0475634,0.33333333333333337,14.333333333333334,0.6666666666666666
4,0.0115281,0.0180051,0.3333333333333334,16.25,0.75
5,0.00707264,0.0131892,0.39999999999999997,17.2,0.8
6,0.00705449,0.0128141,0.4666666666666666,17.666666666666668,0.6666666666666666
7,0.00676817,0.0123262,0.5238095238095238,16.714285714285715,0.7142857142857143
8,0.00670059,0.0119415,0.6428571428571428,14.875,0.625
9,0.00622213,0.0118157,0.7222222222222222,15.88888888888889,0.5555555555555556
10,0.00621296,0.0116374,0.6,16.3,0.5
11,0.00615348,0.0113183,0.6363636363636364,16.0,0.5454545454545454
12,0.00600937,0.0111508,0.5454545454545454,16.25,0.5
13,0.0054696,0.0101271,0.564102564102564,15.461538461538462,0.46153846153846156
14,0.00527524,0.00950504,0.45054945054945056,16.214285714285715,0.5714285714285714
15,0.00523558,0.00942349,0.37142857142857144,16.866666666666667,0.6
16,0.00496658,0.00909739,0.2833333333333333,17.625,0.625
17,0.00488412,0.00829476,0.3529411764705882,17.235294117647058,0.6470588235294118
18,0.00466055,0.00808714,0.4248366013071896,275.05555555555554,0.6111111111111112
19,0.00456843,0.00763326,0.47368421052631576,261.57894736842104,0.5789473684210527
20,0.00454685,0.00715972,0.35789473684210527,250.35,0.6
21,0.00436353,0.00714569,0.34285714285714286,239.52380952380952,0.6190476190476191
22,0.0043589,0.00713148,0.3939393939393939,230.22727272727272,0.5909090909090909
23,0.00434135,0.00705145,0.35968379446640314,221.43478260869566,0.6521739130434783
24,0.00432759,0.00702477,0.34057971014492755,213.33333333333334,0.6666666666666666
25,0.00413664,0.0065104,0.3866666666666666,207.96,0.64
26,0.00406731,0.00618393,0.37230769230769234,200.92307692307693,0.6538461538461539
27,0.00401162,0.00593685,0.36752136752136755,194.33333333333334,0.7037037037037037
28,0.00387225,0.0059285,0.328042328042328,188.60714285714286,0.75
29,0.00384192,0.00571765,0.3596059113300492,182.75862068965517,0.7241379310344828
30,0.00374628,0.00548902,0.3977011494252874,179.46666666666667,0.7
31,0.00371083,0.00537636,0.41935483870967744,174.29032258064515,0.6774193548387096
32,0.00358594,0.00537172,0.4516129032258065,183.40625,0.65625
33,0.00345763,0.00519538,0.4242424242424242,178.84848484848484,0.6666666666666666
34,0.00342922,0.00478939,0.358288770053476,175.02941176470588,0.6764705882352942
35,0.00340631,0.00478932,0.35798319327731093,170.57142857142858,0.6571428571428571
36,0.00339288,0.00469038,0.38095238095238104,166.77777777777777,0.6388888888888888
37,0.0033726,0.00467287,0.37537537537537535,163.05405405405406,0.6756756756756757
38,0.00332147,0.00463547,0.3712660028449502,159.5,0.6842105263157895
39,0.00309363,0.0045329,0.4008097165991903,168.82051282051282,0.6666666666666666
40,0.00308609,0.00436811,0.4230769230769231,168.425,0.65
41,0.00308175,0.00423173,0.4341463414634146,164.73170731707316,0.6341463414634146
42,0.00300105,0.00415115,0.41231126596980255,161.73809523809524,0.6428571428571429
43,0.00297695,0.0039726,0.43300110741971204,162.7906976744186,0.627906976744186
44,0.0029752,0.0037785,0.4334038054968287,159.11363636363637,0.6136363636363636
45,0.00288886,0.00355073,0.45050505050505046,159.77777777777777,0.6222222222222222
46,0.00287918,0.00341774,0.4628019323671498,159.2608695652174,0.6086956521739131
47,0.00285927,0.00336646,0.42090656799259946,157.06382978723406,0.6170212765957447
48,0.00274122,0.00333355,0.4024822695035461,154.6875,0.625
49,0.00273933,0.0032094,0.42517006802721086,228.28571428571428,0.6326530612244898
50,0.00267516,0.00313039,0.39755102040816326,224.74,0.64
51,0.00257086,0.00306514,0.3976470588235295,220.41176470588235,0.6274509803921569
52,0.00250887,0.00304048,0.40874811463046756,218.1346153846154,0.6153846153846154
53,0.00246639,0.00295174,0.4005805515239478,214.52830188679246,0.6226415094339622
54,0.00245788,0.0029307,0.41998602375960864,220.03703703703704,0.6296296296296297
55,0.00245559,0.00289957,0.4154882154882156,216.27272727272728,0.6181818181818182
56,0.002449,0.00283941,0.4311688311688312,220.53571428571428,0.6071428571428571
57,0.00240868,0.0026669,0.43358395989974946,216.80701754385964,0.5964912280701754
58,0.00239229,0.00257786,0.4240774349667271,213.5344827586207,0.603448275862069
59,0.00239205,0.00256785,0.42372881355932196,209.96610169491527,0.6101694915254238
60,0.0023546,0.00256557,0.43163841807909603,208.18333333333334,0.6
61,0.00232599,0.0025345,0.448087431693989,225.80327868852459,0.5901639344262295
62,0.00231675,0.00240223,0.41406663141195144,223.29032258064515,0.5967741935483871
63,0.00231032,0.00240063,0.4234511008704557,221.87301587301587,0.6031746031746031
64,0.00220988,0.0023412,0.4097222222222222,219.140625,0.625
65,0.00218124,0.00231348,0.41250000000000003,216.3230769230769,0.6153846153846154
66,0.00216174,0.00225992,0.4219114219114219,215.12121212121212,0.6060606060606061
67,0.00213324,0.00216765,0.41564902758932615,212.22388059701493,0.6119402985074627
68,0.00212806,0.00216672,0.4003511852502194,209.91176470588235,0.6323529411764706
69,0.00212217,0.00211844,0.39471440750213127,207.231884057971,0.6521739130434783
70,0.00203589,0.00209652,0.3805383022774327,205.05714285714285,0.6571428571428571
71,0.00201783,0.00209066,0.38350100603621734,202.19718309859155,0.6619718309859155
72,0.00195836,0.00203694,0.3818466353677621,199.65277777777777,0.6527777777777778
73,0.00192256,0.00200708,0.3873668188736682,197.83561643835617,0.6438356164383562
74,0.00190602,0.00198392,0.3898556090336912,195.21621621621622,0.6486486486486487
75,0.00188633,0.00195753,0.38162162162162167,193.08,0.6533333333333333
76,0.00186188,0.00190474,0.3964912280701755,214.8421052631579,0.6447368421052632
77,0.00184975,0.00189327,0.40054682159945315,212.85714285714286,0.6493506493506493
78,0.00183452,0.00186911,0.4105894105894106,213.98717948717947,0.6538461538461539
79,0.00181967,0.00185785,0.4086335605322947,211.50632911392404,0.6582278481012658
80,0.00179396,0.00184072,0.3949367088607595,209.6125,0.6625
81,0.00179124,0.00182963,0.4074074074074074,217.76543209876544,0.654320987654321
82,0.00178944,0.00182649,0.39716952725082805,215.6829268292683,0.6707317073170732
83,0.00175251,0.00179822,0.40875697913605635,219.79518072289156,0.6626506024096386
84,0.00172984,0.00178474,0.42283419391853133,304.4642857142857,0.6547619047619048
85,0.00172141,0.00177598,0.42913165266106446,302.70588235294116,0.6470588235294118
86,0.00170234,0.00177145,0.4331053351573187,300.4418604651163,0.6511627906976745
87,0.00167736,0.00173354,0.43811815022721196,298.42528735632186,0.6436781609195402
88,0.00167489,0.0017295,0.43416927899686525,295.3068181818182,0.6477272727272727
89,0.00162548,0.00172638,0.44075587334014305,293.82022471910113,0.6404494382022472
90,0.00158886,0.00168638,0.42621722846441945,291.31111111111113,0.6444444444444445
91,0.00156835,0.00166094,0.4256410256410256,288.34065934065933,0.6483516483516484
92,0.00156108,0.00165937,0.4352603917821309,293.7826086956522,0.6413043478260869
93,0.00155851,0.00163035,0.4394576905095839,291.96774193548384,0.6344086021505376
94,0.00155582,0.00157088,0.44314802104781514,290.1595744680851,0.6382978723404256
95,0.00153907,0.00156055,0.4262038073908174,287.9789473684211,0.6421052631578947
96,0.00152594,0.00155674,0.43245614035087715,287.125,0.6354166666666666
97,0.00151847,0.00155588,0.42525773195876293,284.63917525773195,0.6391752577319587
98,0.00150353,0.00155028,0.43151693667157587,284.51020408163265,0.6326530612244898
99,0.00148544,0.00152578,0.424860853432282,282.09090909090907,0.6464646464646465
100,0.00147764,0.00151941,0.412929292929293,279.95,0.65
101,0.00146368,0.00151066,0.4087128712871288,277.55445544554453,0.6534653465346535
102,0.00146153,0.00150351,0.4090467870316443,275.2549019607843,0.6470588235294118
103,0.00144759,0.00139061,0.39272796497239676,273.49514563106794,0.6504854368932039
104,0.0014468,0.00137796,0.39917849141150114,273.21153846153845,0.6442307692307693
105,0.00142389,0.00135495,0.3967032967032966,270.87619047619046,0.6476190476190476
106,0.00138729,0.00135318,0.386522911051213,268.9811320754717,0.6509433962264151
107,0.00136836,0.0013517,0.382119555633927,266.9158878504673,0.6542056074766355
108,0.00132986,0.00134226,0.3828314295604015,264.76851851851853,0.6481481481481481
109,0.00132788,0.00133298,0.3788651036357459,262.77064220183485,0.6513761467889908
110,0.00132235,0.00132405,0.36413678065054206,261.2818181818182,0.6545454545454545
111,0.00131379,0.00131886,0.3667485667485667,259.63963963963965,0.6486486486486487
112,0.00130761,0.00128699,0.37612612612612606,264.38392857142856,0.6428571428571429
113,0.00129281,0.00128144,0.38084702907711754,263.13274336283183,0.6371681415929203
114,0.00128483,0.00127477,0.37897841950007766,261.0964912280702,0.6403508771929824
115,0.00128386,0.00127341,0.3858123569794051,261.32173913043476,0.6347826086956522
116,0.00126751,0.00126092,0.3895052473763118,260.05172413793105,0.6293103448275862
117,0.00126365,0.00125819,0.3890362511052166,258.03418803418805,0.6239316239316239
118,0.00126303,0.00124644,0.3901202375778647,256.4237288135593,0.6186440677966102
119,0.00123106,0.00124269,0.3986611593790059,260.89915966386553,0.6134453781512605
120,0.00122852,0.00120506,0.4047619047619047,261.56666666666666,0.6083333333333333
121,0.00122364,0.00118186,0.4066115702479338,260.1487603305785,0.6033057851239669
122,0.00121874,0.00118181,0.41525538544912616,270.12295081967216,0.6065573770491803
123,0.00121115,0.00117027,0.41063574570171923,268.3414634146341,0.6097560975609756
124,0.00120993,0.00113961,0.4065040650406504,266.5725806451613,0.6129032258064516
125,0.00120899,0.00113809,0.4033548387096774,264.744,0.624
126,0.00120823,0.00112861,0.4003809523809524,262.8888888888889,0.626984126984127
127,0.0012054,0.001128,0.3895763029621297,261.5511811023622,0.6299212598425197
128,0.00119134,0.00111286,0.37795275590551186,260.296875,0.6328125
129,0.00118926,0.00110344,0.37669573643410853,258.31007751937983,0.627906976744186
130,0.00118845,0.00110336,0.38246869409660106,258.4307692307692,0.6230769230769231
131,0.00117857,0.00109141,0.39095713446858493,267.9389312977099,0.6183206106870229
132,0.00117835,0.00108202,0.38908165625722874,266.0151515151515,0.6136363636363636
133,0.00117434,0.00105527,0.37799043062200965,264.796992481203,0.6240601503759399
134,0.00116566,0.00101441,0.38166311300639655,263.64179104477614,0.6194029850746269
135,0.0011633,0.00101267,0.37888336097291325,261.97037037037035,0.6296296296296297
136,0.00115745,0.00100386,0.37494553376906314,260.4852941176471,0.6323529411764706
137,0.00115724,0.000988013,0.37977672820953196,260.3284671532847,0.6277372262773723
138,0.00114341,0.000982626,0.3676081667195599,259.31159420289856,0.6304347826086957
139,0.0011351,0.000980344,0.3694088207694714,257.9208633093525,0.6330935251798561
140,0.00113401,0.00097805,0.3751284686536485,258.50714285714287,0.6285714285714286
141,0.00112973,0.000973723,0.37021276595744684,257.1914893617021,0.6312056737588653
142,0.00112149,0.000963403,0.3698931175706722,255.43661971830986,0.6267605633802817
143,0.0011189,0.000961318,0.3631438983551659,254.26573426573427,0.6293706293706294
144,0.00111325,0.000954902,0.3669386169386169,253.24305555555554,0.625
145,0.00110987,0.000953878,0.3653256704980843,251.64827586206897,0.6275862068965518
146,0.00110276,0.000950307,0.37269721303731695,255.5205479452055,0.6301369863013698
147,0.00110062,0.000938397,0.37247227658186566,253.8843537414966,0.6258503401360545
148,0.00108819,0.000912284,0.37488508917080343,252.72972972972974,0.6216216216216216
149,0.00108719,0.000895114,0.3810992200253945,254.88590604026845,0.6174496644295302
150,0.00108576,0.000870014,0.37718120805369126,253.65333333333334,0.62
151,0.00107561,0.000864978,0.3852538631346578,296.5827814569536,0.6158940397350994
152,0.00107552,0.000862097,0.3823631927500872,294.9144736842105,0.618421052631579
153,0.00106154,0.000837697,0.3890608875128999,299.91503267973854,0.6143790849673203
154,0.00105626,0.000836468,0.3966556319497495,331.012987012987,0.6103896103896104
155,0.00103519,0.000835238,0.3937159614578969,329.1483870967742,0.6129032258064516
156,0.00103281,0.000832945,0.3915632754342432,327.1730769230769,0.6153846153846154
157,0.00102408,0.000824613,0.3976808753878817,331.5732484076433,0.6114649681528662
158,0.00100552,0.000824587,0.3885350318471338,330.2151898734177,0.6139240506329114
159,0.00100456,0.000812285,0.3791895549717379,328.9056603773585,0.6163522012578616
160,0.00100321,0.000811401,0.38443396226415094,331.0,0.61875
161,0.00100116,0.000802303,0.3892857142857143,332.111801242236,0.6211180124223602
162,0.00099444,0.000784543,0.37842190016103067,330.9074074074074,0.6296296296296297
163,0.000980759,0.000782268,0.37635385897144585,329.0674846625767,0.6319018404907976
164,0.000978283,0.000778812,0.3839592997156966,372.6158536585366,0.6341463414634146
165,0.000977609,0.000778035,0.38595713229859574,370.8424242424242,0.6303030303030303
166,0.00097205,0.000777991,0.39277108433734936,397.4156626506024,0.6325301204819277
167,0.000956764,0.000756274,0.39629175384171417,396.9580838323353,0.6287425149700598
168,0.000953825,0.000752405,0.39962931280296554,396.4642857142857,0.625
169,0.000950584,0.000750134,0.3958861651169344,394.49704142011836,0.6272189349112426
170,0.00094622,0.000735855,0.39784197702749746,392.79411764705884,0.6235294117647059
171,0.000946068,0.000726701,0.38685930512555905,391.37426900584796,0.631578947368421
172,0.00094382,0.000725689,0.3858289133686931,389.1046511627907,0.627906976744186
173,0.000942495,0.000722493,0.3888963570372362,388.3179190751445,0.6242774566473989
174,0.000934582,0.000711334,0.38914357849976744,386.31609195402297,0.6206896551724138
175,0.000931193,0.000705233,0.39362889983579635,387.30857142857144,0.6228571428571429
176,0.00093101,0.000700777,0.3955844155844156,386.02840909090907,0.6193181818181818
177,0.000927031,0.000698029,0.39676425269645604,384.2542372881356,0.615819209039548
178,0.000926127,0.000686846,0.3996064241731734,383.5674157303371,0.6123595505617978
179,0.000921083,0.00067814,0.39576925491180714,381.804469273743,0.6145251396648045
180,0.000910944,0.000671579,0.40012414649286154,382.8277777777778,0.6111111111111112
181,0.00088815,0.000669675,0.40552486187845305,388.51381215469615,0.6077348066298343
182,0.000885398,0.000665476,0.41169327909659403,415.2307692307692,0.6043956043956044
183,0.000876208,0.000662091,0.41319882303488864,413.8688524590164,0.6065573770491803
184,0.000872341,0.000661989,0.4082917557614636,412.14130434782606,0.6141304347826086
185,0.000869701,0.000661943,0.400117508813161,410.6702702702703,0.6162162162162163
186,0.000866198,0.000658654,0.3984306887532693,408.5376344086022,0.6129032258064516
187,0.000856037,0.000653048,0.4019895348168593,408.7807486631016,0.6096256684491979
188,0.000854666,0.000643516,0.3945841392649903,407.32978723404256,0.6117021276595744
189,0.000854138,0.00064223,0.39130924237307213,405.5291005291005,0.6137566137566137
190,0.000851215,0.000627951,0.38713450292397655,403.85263157894735,0.6157894736842106
191,0.000845922,0.000621784,0.39057591623036647,403.8743455497382,0.612565445026178
192,0.000842154,0.000611453,0.39288830715532286,403.046875,0.6145833333333334
193,0.000842133,0.000609735,0.39399827288428324,401.419689119171,0.616580310880829
194,0.000833834,0.000608173,0.3958656054697932,400.3556701030928,0.6134020618556701
195,0.000828925,0.000608124,0.40206185567010316,442.4974358974359,0.6102564102564103
196,0.000828169,0.000605619,0.39979068550497127,440.44897959183675,0.6122448979591837
