N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
903,0.000162073,8.94655e-06,0.5177328561522861,39545.21040974529,0.7619047619047619
904,0.000161984,8.93812e-06,0.517653198352487,39545.67588495575,0.7632743362831859
905,0.000161802,8.8337e-06,0.5172279338339729,39546.3093922652,0.7646408839779005
906,0.000161732,8.52864e-06,0.517552129514038,39546.31898454746,0.7637969094922737
907,0.000161557,8.49661e-06,0.518586756654853,39541.22491730981,0.762954796030871
908,0.000161226,8.34762e-06,0.5192148672527217,39540.43392070485,0.762114537444934
909,0.000161221,8.27424e-06,0.5184989538041851,39541.19471947195,0.7623762376237624
910,0.000160887,8.17144e-06,0.5181451881012843,39541.8043956044,0.7626373626373626
911,0.000160876,8.16588e-06,0.5188845959456567,39540.67178924259,0.7618002195389681
912,0.000160411,8.12597e-06,0.5181005523389376,39541.45175438596,0.7620614035087719
913,0.000160311,8.00558e-06,0.5179840390081258,39541.9452354874,0.7623220153340635
914,0.000160146,7.96032e-06,0.5173802639009277,39542.665207877464,0.7636761487964989
915,0.000159111,7.95371e-06,0.5165698324426843,39543.45136612022,0.7639344262295082
916,0.000159011,7.92806e-06,0.5166470000803067,39543.78384279476,0.7631004366812227
917,0.000158558,7.70235e-06,0.5163678269848689,39544.365321701196,0.7633587786259542
918,0.000158429,7.6216e-06,0.5159437161816649,39544.99673202614,0.7636165577342048
919,0.000158217,7.60161e-06,0.5162527662836514,39545.03699673558,0.7627856365614799
920,0.000158207,7.58391e-06,0.5153173526489775,39545.85760869565,0.7630434782608696
921,0.000157868,7.56535e-06,0.5161385499443594,39544.111834962,0.762214983713355
922,0.000157757,7.55424e-06,0.5170374051567422,39541.566160520604,0.7613882863340564
923,0.000157747,7.53631e-06,0.5163306913593966,39542.32502708559,0.761646803900325
924,0.000157575,7.22411e-06,0.5158017051047632,39543.00432900433,0.762987012987013
925,0.00015753,6.99627e-06,0.515968779652605,39543.23567567568,0.7621621621621621
926,0.000157517,6.87094e-06,0.5154170981465168,39543.928725701946,0.7624190064794817
927,0.000157479,6.64596e-06,0.5161550370983965,39542.81014023732,0.761596548004315
928,0.00015743,6.43245e-06,0.5166351837540034,39542.46659482759,0.7607758620689655
929,0.000157214,6.19964e-06,0.5171422241454985,39542.045209903124,0.7610333692142088
930,0.000157185,6.19422e-06,0.5172037422642471,39542.383870967744,0.7612903225806451
931,0.000156773,6.18954e-06,0.5174093267842712,39542.57035445757,0.761546723952739
932,0.000156102,5.97896e-06,0.5177810994931357,39542.45386266094,0.7607296137339056
933,0.000156001,5.63032e-06,0.5187319951012855,39539.01071811361,0.759914255091104
934,0.000155735,5.48824e-06,0.5181422068096789,39539.71734475375,0.7612419700214133
935,0.000155652,5.415e-06,0.5175743654165991,39540.41604278075,0.7614973262032085
936,0.000155618,5.36213e-06,0.5161507794586981,39541.36752136752,0.7628205128205128
937,0.000155278,5.02312e-06,0.5151402858055116,39542.210245464245,0.7630736392742796
938,0.000154765,5.00048e-06,0.515018119137214,39542.70682302772,0.7643923240938166
939,0.000154743,4.86599e-06,0.5145478842076431,39543.36528221512,0.7646432374866879
940,0.000154637,4.84763e-06,0.5139402645872202,39544.085106382976,0.7648936170212766
941,0.000154488,4.83099e-06,0.5133860689017559,39544.78002125399,0.7651434643995749
942,0.00015441,4.82146e-06,0.5137333163364697,39544.733545647556,0.7643312101910829
943,0.000154055,4.75089e-06,0.5142693106537612,39544.2046659597,0.7635206786850477
944,0.000154034,4.47053e-06,0.5134336339058566,39544.99470338983,0.763771186440678
945,0.000153905,4.43737e-06,0.5142347258485943,39543.30793650794,0.762962962962963
946,0.000153673,4.32314e-06,0.5147471556623192,39542.86786469345,0.7632135306553911
947,0.000153628,4.28651e-06,0.5133296348432251,39543.81626187962,0.7634635691657867
948,0.000153447,4.20531e-06,0.5134786216732694,39544.06012658228,0.7637130801687764
949,0.000153417,3.94895e-06,0.5137925706749457,39544.065331928345,0.7629083245521602
950,0.00015246,3.92852e-06,0.5138267581687573,39544.42526315789,0.7621052631578947
951,0.000152457,3.80939e-06,0.5128037111118434,39545.26919032597,0.7634069400630915
952,0.000152144,3.78537e-06,0.5121925087621075,39545.98949579832,0.7636554621848739
953,0.000152109,3.67461e-06,0.5120611074067183,39546.49108079748,0.7639034627492131
954,0.000152004,3.49368e-06,0.5121381141517087,39546.81551362683,0.7641509433962265
955,0.000151837,3.46341e-06,0.5130105403655284,39544.523560209425,0.7633507853403141
956,0.000151756,3.44294e-06,0.5139899165263183,39539.94979079498,0.7625523012552301
957,0.000151352,3.3864e-06,0.5148351005751302,39537.80668756531,0.7617554858934169
958,0.000151168,3.24964e-06,0.5153767704149532,39537.24425887265,0.7609603340292276
959,0.000150985,3.21234e-06,0.5146110734382692,39538.02189781022,0.7612095933263816
960,0.000150838,3.20233e-06,0.5150531315752208,39537.73541666667,0.7604166666666666
961,0.000150512,2.97183e-06,0.5155551027091811,39537.30280957336,0.7596253902185224
962,0.000150496,2.73007e-06,0.5144984050513512,39538.16216216216,0.760914760914761
963,0.000150248,2.64482e-06,0.5148504163948574,39538.06957424714,0.7601246105919003
964,0.000150121,2.60501e-06,0.515085675260524,39538.18464730291,0.7593360995850622
965,0.000150033,2.48135e-06,0.5153726005341275,39538.20621761658,0.7585492227979275
966,0.000149998,2.48053e-06,0.516105639521896,39536.918219461695,0.7587991718426501
967,0.000149908,2.44385e-06,0.5170507889237869,39532.91209927611,0.7580144777662875
968,0.000149895,2.42143e-06,0.516843561543153,39533.45351239669,0.7592975206611571
969,0.000149867,2.35531e-06,0.5167448301745704,39533.9226006192,0.759545923632611
970,0.000149654,2.26768e-06,0.5168815942483688,39534.16804123711,0.7587628865979381
971,0.000149573,2.11652e-06,0.5177747648561263,39531.10916580845,0.7590113285272915
972,0.00014956,2.0877e-06,0.5170124103239672,39531.8878600823,0.7602880658436214
973,0.000149225,2.02835e-06,0.5173115658920899,39531.87975334019,0.7595066803699897
974,0.000148675,2.02428e-06,0.517893301790621,39531.15195071868,0.7587268993839835
975,0.000148513,1.92412e-06,0.5185789697038306,39530.08512820513,0.7589743589743589
976,0.000148451,1.89035e-06,0.5193469097805619,39528.375,0.7581967213114754
977,0.000148423,1.8793e-06,0.5188542615972004,39529.046059365406,0.759467758444217
978,0.000147837,1.83392e-06,0.5184358009641722,39529.68916155419,0.7597137014314929
