N,min_psi_emul,min_psi_model,kendall,mean_dist,common_users_prop
2,0.0246795,0.0869796,-1.0,526.0,1.0
3,0.0132962,0.016985,0.33333333333333337,683.6666666666666,0.6666666666666666
4,0.0115281,0.0112008,0.3333333333333334,644.0,0.75
5,0.00707264,0.0105749,0.39999999999999997,620.6,0.6
6,0.00705449,0.00975349,0.4666666666666666,605.3333333333334,0.6666666666666666
7,0.00676817,0.00637761,0.33333333333333337,593.7142857142857,0.7142857142857143
8,0.00670059,0.00633617,0.4728054288446501,643.75,0.625
9,0.00622213,0.005269,0.4789207443461594,633.6666666666666,0.6666666666666666
10,0.00621296,0.00448152,0.5520524474738834,669.5,0.6
11,0.00615348,0.0042034,0.523570314404736,659.9090909090909,0.5454545454545454
12,0.00600937,0.00349434,0.5720775535473553,687.4166666666666,0.5
13,0.0054696,0.00281899,0.6041585400191986,710.6153846153846,0.46153846153846156
14,0.00527524,0.00277784,0.6252818913170463,730.4285714285714,0.42857142857142855
15,0.00523558,0.00173139,0.5143444998736397,716.5333333333333,0.4666666666666667
16,0.00496658,0.00165894,0.5413071845204606,733.375,0.4375
17,0.00488412,0.00162374,0.561083607686782,748.1764705882352,0.4117647058823529
18,0.00466055,0.0016224,0.5755089459746229,761.2777777777778,0.3888888888888889
19,0.00456843,0.00159684,0.5858887021745228,772.9473684210526,0.3684210526315789
20,0.00454685,0.00141224,0.4759554341717346,760.1,0.4
21,0.00436353,0.00135198,0.49330385597158705,770.6190476190476,0.38095238095238093
22,0.0043589,0.00127629,0.4364357804719848,761.0909090909091,0.36363636363636365
23,0.00434135,0.00126816,0.45514956368175624,770.5652173913044,0.34782608695652173
24,0.00432759,0.000852331,0.3572187635001126,759.7083333333334,0.375
25,0.00413664,0.000823196,0.37974228656314296,768.4,0.36
26,0.00406731,0.000693382,0.3211820274187865,758.5769230769231,0.38461538461538464
27,0.00401162,0.000689668,0.3442651863295482,766.5925925925926,0.37037037037037035
28,0.00387225,0.000651403,0.3642156795423418,774.0,0.35714285714285715
29,0.00384192,0.000628999,0.31180295974820277,765.6206896551724,0.3448275862068966
30,0.00374628,0.000562421,0.3322807683739742,772.5,0.3333333333333333
31,0.00371083,0.000558441,0.35026451515699003,778.9032258064516,0.3225806451612903
32,0.00358594,0.000523621,0.3660909972450776,784.875,0.3125
33,0.00345763,0.000499465,0.31237926960796886,776.5151515151515,0.3333333333333333
34,0.00342922,0.000493869,0.2341027473708664,768.2647058823529,0.38235294117647056
35,0.00340631,0.000482056,0.2144979113367575,763.2857142857143,0.37142857142857144
36,0.00339288,0.00046728,0.23617129091550407,768.9166666666666,0.3888888888888889
37,0.0033726,0.000462171,0.20028947413483014,761.8648648648649,0.40540540540540543
38,0.00332147,0.000456386,0.18314056261088002,756.5526315789474,0.39473684210526316
39,0.00309363,0.000455066,0.1723342073024338,753.5384615384615,0.38461538461538464
40,0.00308609,0.000431651,0.163954180894229,750.8,0.375
41,0.00308175,0.000413749,0.13570814683048216,745.0975609756098,0.3902439024390244
42,0.00300105,0.00040414,0.09081799692815395,739.047619047619,0.40476190476190477
43,0.00297695,0.000367978,0.11590290157822213,744.1627906976744,0.3953488372093023
44,0.0029752,0.000332368,0.09223338267183906,738.6818181818181,0.4090909090909091
45,0.00288886,0.000324232,0.11607408613981621,743.5333333333333,0.4
46,0.00287918,0.000305172,0.13812501743446734,748.1521739130435,0.391304347826087
47,0.00285927,0.000295886,0.15854890380205933,752.5531914893617,0.3829787234042553
48,0.00274122,0.000291218,0.1399124056555827,747.625,0.3958333333333333
49,0.00273933,0.000254839,0.1594112372287465,751.8163265306123,0.40816326530612246
50,0.00267516,0.000253455,0.17755090628978587,755.82,0.4
51,0.00257086,0.000229057,0.16233836761777676,751.4705882352941,0.39215686274509803
52,0.00250887,0.000217857,0.14403360784346358,746.9038461538462,0.40384615384615385
53,0.00246639,0.000217787,0.16188097705954405,750.7169811320755,0.39622641509433965
54,0.00245788,0.000212178,0.1557968566041554,748.7592592592592,0.3888888888888889
55,0.00245559,0.000199843,0.13104975865298174,744.1454545454545,0.4
56,0.002449,0.000199818,0.14854046177456667,747.75,0.39285714285714285
57,0.00240868,0.000196354,0.125566025282787,743.4035087719299,0.42105263157894735
58,0.00239229,0.000193546,0.10224670942920691,739.051724137931,0.43103448275862066
59,0.00239205,0.000190144,0.11985012612207074,742.5084745762712,0.4406779661016949
60,0.0023546,0.000181896,0.1364401042563084,745.8333333333334,0.43333333333333335
61,0.00232599,0.000181503,0.15208753637380623,749.0327868852459,0.4262295081967213
62,0.00231675,0.000177418,0.16685723232947067,752.1129032258065,0.41935483870967744
63,0.00231032,0.000168503,0.1560375236633709,748.8253968253969,0.4126984126984127
64,0.00220988,0.000162166,0.13402850804571434,744.78125,0.421875
65,0.00218124,0.000161893,0.11730608184293867,740.9538461538461,0.4307692307692308
66,0.00216174,0.000161288,0.10746372201097237,737.5757575757576,0.4393939393939394
67,0.00213324,0.000155596,0.10077404687908673,734.5820895522388,0.43283582089552236
68,0.00212806,0.000153102,0.07627038458056533,730.7205882352941,0.4411764705882353
69,0.00212217,0.00014753,0.05474436702898231,727.0144927536232,0.4492753623188406
70,0.00203589,0.000142893,0.07107148271253001,729.9428571428572,0.44285714285714284
71,0.00201783,0.000137579,0.08661134001624417,732.7746478873239,0.43661971830985913
